Lysogen	Contrast	Direction	KEGG	DE	No_DE	Total	Ratio	p
GIL16	Time 60 vs 60-mock	UP	Replication and repair	7	18	25	0.28	0.035364179
GIL16	Time 60 vs 60-mock	DOWN	Carbohydrate metabolism	14	10	24	0.583333333	1.06E-05
GIL16	Time 60 vs 60-mock	DOWN	Global and overview maps	33	77	110	0.3	2.36E-05
GIL16	Time 60 vs 60-mock	DOWN	Global and overview maps	43	136	179	0.240223464	0.000217375
GIL16	Time 60 vs 60-mock	DOWN	Global and overview maps	33	99	132	0.25	0.000910139
GIL16	Time 60 vs 60-mock	DOWN	Global and overview maps	68	288	356	0.191011236	0.000910139
GIL16	Time 60 vs 60-mock	DOWN	Energy metabolism	12	16	28	0.428571429	0.000910139
GIL16	Time 60 vs 60-mock	DOWN	Translation	12	23	35	0.342857143	0.009298484
GIL16	Time 60 vs 60-mock	DOWN	Energy metabolism	7	8	15	0.466666667	0.01312815
GIL16	Time 60 vs 60-mock	DOWN	Amino acid metabolism	8	15	23	0.347826087	0.048926755
GIL16	Time 60-mock vs 0	UP	Global and overview maps	33	77	110	0.3	6.24E-09
GIL16	Time 60-mock vs 0	UP	Carbohydrate metabolism	14	10	24	0.583333333	6.48E-08
GIL16	Time 60-mock vs 0	UP	Global and overview maps	40	139	179	0.223463687	2.87E-07
GIL16	Time 60-mock vs 0	UP	Global and overview maps	54	302	356	0.151685393	0.000416902
GIL16	Time 60-mock vs 0	UP	Energy metabolism	10	18	28	0.357142857	0.001562952
GIL16	Time 60-mock vs 0	UP	Carbohydrate metabolism	9	21	30	0.3	0.012564632
GIL16	Time 60-mock vs 0	UP	Energy metabolism	11	33	44	0.25	0.016412474
GIL16	Time 60-mock vs 0	UP	Carbohydrate metabolism	9	26	35	0.257142857	0.030788022
GIL16	Time 60-mock vs 0	DOWN	Amino acid metabolism	8	8	16	0.5	5.56E-05
GIL16	Time 60-mock vs 0	DOWN	Amino acid metabolism	9	14	23	0.391304348	7.02E-05
GIL16	Time 60-mock vs 0	DOWN	Global and overview maps	21	111	132	0.159090909	0.000166967
GIL16	Time 60-mock vs 0	DOWN	Carbohydrate metabolism	5	6	11	0.454545455	0.003389205
GIL16	Time 60-mock vs 0	DOWN	Global and overview maps	8	33	41	0.195121951	0.024599386
GIL16	Time 60-mock vs 0	DOWN	Membrane transport	5	13	18	0.277777778	0.030166369
