Sample	GIL01	GIL01_unaligned	GIL16	GIL16_unaligned	Unaligned	chromosome	chromosome_unaligned	pBtic235	pBtic235_unaligned
GIL16_t0_III_paired	0.0	0.0	1026434.0	1054.0	55318.0	31003347.0	31118.0	338335.0	538.0
GIL16_t0_III_unpaired_R1	0.0	0.0	8168.0	0.0	4225.0	254793.0	0.0	2500.0	0.0
GIL16_t0_III_unpaired_R2	0.0	0.0	16645.0	0.0	4485.0	469588.0	0.0	4960.0	0.0
GIL16_t0_II_paired	0.0	0.0	325187.0	289.0	59748.0	12511257.0	10421.0	297691.0	503.0
GIL16_t0_II_unpaired_R1	0.0	0.0	2412.0	0.0	7425.0	94548.0	0.0	2100.0	0.0
GIL16_t0_II_unpaired_R2	0.0	0.0	4052.0	0.0	7894.0	159891.0	0.0	3774.0	0.0
GIL16_t0_I_paired	0.0	0.0	1015611.0	1150.0	112184.0	28774437.0	35419.0	377878.0	767.0
GIL16_t0_I_unpaired_R1	0.0	0.0	8240.0	0.0	10898.0	237463.0	0.0	3207.0	0.0
GIL16_t0_I_unpaired_R2	0.0	0.0	15410.0	0.0	13099.0	444170.0	0.0	5311.0	0.0
GIL16_t10_III_paired	0.0	0.0	2678494.0	2424.0	46512.0	14286579.0	12422.0	410077.0	508.0
GIL16_t10_III_unpaired_R1	0.0	0.0	20426.0	0.0	2232.0	107595.0	0.0	2932.0	0.0
GIL16_t10_III_unpaired_R2	0.0	0.0	32793.0	0.0	2042.0	177991.0	0.0	4860.0	0.0
GIL16_t10_II_paired	0.0	0.0	904884.0	1279.0	108830.0	25061689.0	28179.0	247356.0	439.0
GIL16_t10_II_unpaired_R1	0.0	0.0	6588.0	0.0	6840.0	198071.0	0.0	1761.0	0.0
GIL16_t10_II_unpaired_R2	0.0	0.0	14724.0	0.0	8961.0	385464.0	0.0	3659.0	0.0
GIL16_t10_I_paired	0.0	0.0	1053855.0	1128.0	177712.0	28398770.0	24444.0	329092.0	445.0
GIL16_t10_I_unpaired_R1	0.0	0.0	7921.0	0.0	19333.0	220000.0	0.0	2657.0	0.0
GIL16_t10_I_unpaired_R2	0.0	0.0	15939.0	0.0	26228.0	430290.0	0.0	4597.0	0.0
GIL16_t30_III_paired	0.0	0.0	6447157.0	5822.0	75472.0	19832483.0	12545.0	369215.0	462.0
GIL16_t30_III_unpaired_R1	0.0	0.0	49047.0	0.0	4153.0	155440.0	0.0	2946.0	0.0
GIL16_t30_III_unpaired_R2	0.0	0.0	101674.0	0.0	5357.0	311719.0	0.0	5331.0	0.0
GIL16_t30_II_paired	0.0	0.0	13899153.0	14015.0	293208.0	12928972.0	10835.0	373627.0	544.0
GIL16_t30_II_unpaired_R1	0.0	0.0	104963.0	0.0	7036.0	100180.0	0.0	2905.0	0.0
GIL16_t30_II_unpaired_R2	0.0	0.0	212415.0	0.0	14451.0	201687.0	0.0	5398.0	0.0
GIL16_t30_I_paired	0.0	0.0	5533789.0	5340.0	178164.0	22610226.0	16636.0	307992.0	301.0
GIL16_t30_I_unpaired_R1	0.0	0.0	45302.0	0.0	12564.0	187081.0	0.0	2908.0	0.0
GIL16_t30_I_unpaired_R2	0.0	0.0	75895.0	0.0	15026.0	319438.0	0.0	3959.0	0.0
GIL16_t60-mock_III_paired	0.0	0.0	978412.0	815.0	34634.0	25761114.0	16145.0	217326.0	170.0
GIL16_t60-mock_III_unpaired_R1	0.0	0.0	7649.0	0.0	3529.0	196931.0	0.0	2249.0	0.0
GIL16_t60-mock_III_unpaired_R2	0.0	0.0	14535.0	0.0	2941.0	388690.0	0.0	2712.0	0.0
GIL16_t60-mock_II_paired	0.0	0.0	414882.0	343.0	13708.0	16071702.0	10761.0	137943.0	133.0
GIL16_t60-mock_II_unpaired_R1	0.0	0.0	3245.0	0.0	2672.0	121314.0	0.0	1278.0	0.0
GIL16_t60-mock_II_unpaired_R2	0.0	0.0	5259.0	0.0	1991.0	214283.0	0.0	1576.0	0.0
GIL16_t60-mock_I_paired	0.0	0.0	552893.0	446.0	29596.0	35252861.0	21766.0	265931.0	207.0
GIL16_t60-mock_I_unpaired_R1	0.0	0.0	4218.0	0.0	2811.0	270068.0	0.0	2756.0	0.0
GIL16_t60-mock_I_unpaired_R2	0.0	0.0	8483.0	0.0	2809.0	518757.0	0.0	3186.0	0.0
GIL16_t60_III_paired	0.0	0.0	26946357.0	28270.0	129250.0	2675770.0	2705.0	241110.0	410.0
GIL16_t60_III_unpaired_R1	0.0	0.0	229405.0	0.0	5909.0	23356.0	0.0	2028.0	0.0
GIL16_t60_III_unpaired_R2	0.0	0.0	392110.0	0.0	6705.0	37213.0	0.0	3194.0	0.0
GIL16_t60_II_paired	0.0	0.0	25940969.0	28447.0	123150.0	2467339.0	3056.0	368000.0	571.0
GIL16_t60_II_unpaired_R1	0.0	0.0	203336.0	0.0	4986.0	20377.0	0.0	2821.0	0.0
GIL16_t60_II_unpaired_R2	0.0	0.0	397734.0	0.0	6634.0	36045.0	0.0	5268.0	0.0
GIL16_t60_I_paired	0.0	0.0	33323428.0	35898.0	167422.0	3259109.0	3668.0	135163.0	160.0
GIL16_t60_I_unpaired_R1	0.0	0.0	295677.0	0.0	10444.0	29089.0	0.0	1614.0	0.0
GIL16_t60_I_unpaired_R2	0.0	0.0	495289.0	0.0	12981.0	48918.0	0.0	1637.0	0.0
